Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
ADBL,27/01/2026,306,312,303.20,304.5,-0.16%,"67,671.00","2,08,31,850.60"
ADBL,26/01/2026,309,310,305.7,307,-0.16%,"67,671.00","2,08,31,850.60"
ADBL,25/01/2026,307,309.9,302,307.5,1.15%,"46,807.00","1,42,82,934.50"
ADBL,22/01/2026,310,310,300.1,304,-0.94%,"28,495.00","86,35,838.00"
ADBL,21/01/2026,307,313,303.1,306.9,-0.32%,"34,955.00","1,07,05,633.10"
ADBL,20/01/2026,303,310.7,302,307.9,1.02%,"51,596.00","1,59,01,946.30"
ADBL,18/01/2026,303,304.8,299,304.8,1.60%,"88,350.00","2,67,62,909.10"
ADBL,14/01/2026,294.1,300,288.4,300,0.67%,"39,336.00","1,16,68,639.30"
ADBL,13/01/2026,300,302,296.3,298,-0.50%,"11,348.00","33,91,541.10"
ADBL,12/01/2026,300,302,298,299.5,-0.17%,"36,804.00","1,10,38,917.30"
ADBL,08/01/2026,294.3,303,294.3,300,0.10%,"39,057.00","1,16,91,238.40"
ADBL,07/01/2026,300,300,294,299.7,0.77%,"29,448.00","87,48,832.20"
ADBL,06/01/2026,297,297.4,292.6,297.4,1.50%,"43,501.00","1,28,57,015.30"
ADBL,05/01/2026,294.8,295,292.1,293,0.34%,"17,448.00","51,29,810.80"
ADBL,04/01/2026,290,295,288.3,292,-1.02%,"43,097.00","1,25,21,869.30"
ADBL,01/01/2026,295,296.5,290,295,-1.01%,"89,799.00","2,62,42,678.00"
ADBL,31/12/2025,294.4,298.5,292,298,1.22%,"51,018.00","1,51,00,726.30"
ADBL,29/12/2025,302.9,302.9,292,294.4,-0.88%,"31,487.00","92,95,774.00"
ADBL,28/12/2025,291,316.8,286,297,3.13%,"49,373.00","1,44,81,034.80"
ADBL,24/12/2025,286,290,285.2,288,0.38%,"20,792.00","59,48,636.70"
ADBL,23/12/2025,288,290,285.2,286.9,-0.66%,"23,575.00","67,46,825.50"
ADBL,22/12/2025,288,290,286,288.8,-0.35%,"20,208.00","58,01,029.30"
ADBL,21/12/2025,290,291,287.2,289.8,-0.75%,"27,646.00","79,69,548.30"
ADBL,18/12/2025,297,297,291,292,-0.68%,"11,848.00","34,63,805.30"
ADBL,17/12/2025,294.9,296,292,294,0.38%,"26,518.00","77,91,190.30"
ADBL,16/12/2025,292,292.9,288,292.9,1.21%,"14,912.00","43,41,221.60"
ADBL,15/12/2025,288,290,286.2,289.4,-0.21%,"24,328.00","70,06,418.90"
ADBL,14/12/2025,292,293,287.1,290,-0.68%,"27,744.00","80,08,254.70"
ADBL,11/12/2025,293,293,288,292,0.21%,"26,009.00","75,29,284.40"
ADBL,10/12/2025,297,297,290,291.4,-0.31%,"24,514.00","71,24,583.70"
ADBL,09/12/2025,298.9,298.9,292,292.3,-1.45%,"37,931.00","1,11,32,498.70"
ADBL,08/12/2025,302,302,295,296.6,-0.77%,"24,934.00","73,91,367.60"
ADBL,07/12/2025,304,304,295.5,298.9,0.23%,"22,681.00","67,35,304.10"
ADBL,03/12/2025,304,304,298.1,298.2,-0.93%,"23,796.00","71,33,576.80"
ADBL,02/12/2025,302.9,302.9,300,301,-0.95%,"40,658.00","1,22,22,393.70"
ADBL,01/12/2025,305,306,300.3,303.9,-1.01%,"56,148.00","1,69,81,122.60"
ADBL,30/11/2025,322.4,322.4,306,307,-3.63%,"67,768.00","2,09,56,928.80"
ADBL,27/11/2025,330,330,322.1,328.9,1.36%,"1,92,110.00","6,28,35,151.20"
ADBL,26/11/2025,325,325,321,324.5,1.41%,"63,588.00","2,05,76,015.00"
ADBL,25/11/2025,319,321,316.3,320,0.95%,"48,790.00","1,55,55,151.10"
ADBL,24/11/2025,317.9,318,312,317,0.32%,"33,678.00","1,06,82,338.50"
